,g,pattern,membership
598,PTRH2,8,0.7399556730993081
599,PYCR2,11,0.9995897540081529
600,QRFP,7,0.6228646846481682
601,RAD54L2,11,0.8846757526097658
602,RANGRF,8,0.974654992607401
603,RARS1,9,0.6309093572053288
604,RASGRP3,0,0.6409212679724997
605,RASL10B,8,0.9700041728158084
606,RBIS,14,0.6726341835547779
607,RBM26,11,0.9819653781199722
608,"RBMX,RBMXL1",11,0.8389959431014883
609,"RFFL,RAD51L3-RFFL",2,0.5429013505307344
611,RGS19,8,0.9781391124154033
612,RMDN1,14,0.6282467746643782
613,RNF141,11,0.9926902210868632
614,RNF38,5,0.8495778018292567
615,RNFT1,0,0.9321846978153527
616,RNH1,7,0.8671280406509827
617,RP9,0,0.7927061746954065
618,RPRD1A,4,0.8937633709565812
619,RRP36,11,0.9973292129209782
620,RTF2,5,0.9999554487656772
621,RUVBL1,11,0.9985202795515901
622,SAFB2,13,0.9989260912009809
623,SAP30L,6,0.6267781982089872
624,SART3,5,0.9951078121930104
625,SCGB1A1,0,0.9943640385529777
626,SCO1,0,0.7487843497660497
627,SDAD1,8,0.6653588814107853
628,SEC16A,11,0.9998586346154802
629,SEC61G,11,0.9702868659414261
630,SELENOV,0,0.9950988760304385
631,SENP2,5,0.9854690044117917
632,SERAC1,8,0.8530456799644428
633,SETD1A,7,0.9576889477340875
634,SETD4,7,0.5578738383709874
635,SF3B1,4,0.9945110143678892
636,SF3B4,7,0.9764950825588145
637,SHPRH,8,0.8159665626839724
638,SLC35A2,7,0.9846545319285305
639,SLC37A4,0,0.7886059233581172
640,SLC4A7,11,0.7952103827986504
641,SLC6A16,5,0.9997645224546918
642,"SLX1B,SLX1A,SLX1A-SULT1A3,SLX1B-SULT1A4",11,0.9848797569733552
643,SMARCD2,0,0.968605056831645
644,SMIM1,5,0.9069691144167717
645,SNX1,12,0.455655585872941
646,SPSB2,2,0.832584149034939
647,SRRM1,5,0.9987191133436594
649,ST6GALNAC1,14,0.9974255157657201
650,STK36,8,0.9887762963329012
651,STKLD1,8,0.9080346716256832
652,STX10,11,0.8811754059021915
653,SULT1C4,13,0.997783102178466
654,SUMO1,8,0.9116990687664638
655,SYNRG,5,0.9810295137064298
656,SYT9,0,0.9650921898142637
657,TAF13,8,0.48339588583430043
658,TAF1D,7,0.7403191254511094
659,TAF5L,0,0.8384693989278404
660,TBP,13,0.5968066047414589
661,TCEAL8,11,0.6658372689862397
662,TCERG1,13,0.7672723770342986
663,TDG,11,0.6235700178254442
664,TEPSIN,8,0.9521703356490466
665,TEX55,0,0.543384574284593
666,TGS1,8,0.4740435973865392
667,THAP11,8,0.9913638038444704
668,TM4SF1,11,0.9978404871412893
669,TM7SF2,13,0.868501840279635
670,TMED6,7,0.9192362209955547
671,TMEM14B,10,0.9772415546826841
672,TMEM208,8,0.6623637957280901
673,TMEM248,11,0.7789959438853022
674,TOPORS,5,0.9329988524598092
