Sample_ID	DSP_Sample_ID	Plate	dsp_plate	roi	segment_type	segment	aoi	roi_dimension	nuclei	RawReads	TrimmedReads	StitchedReads	AlignedReads	DeduplicatedReads	SequencingSaturation	UID	NegGeoMean_01	NegGeoSD_01	GeoLOD2.5_01	NormFactorNeg_01	NormFactorQ3	NormFactorHK
HCA_F_BRA8739157	DSP1001660005640_E10	DSP1001660005640	1.00166E+12	50	geometric	Geometric Segment	Geometric Segment-aoi-001	189702.2784	379	4217206	4214626	4099271	2758313	866138	68.59899511	HCA_F_BRA8739157	23.48735784	1.451761703	59.64478858	1.024004493	0.790286015	0.744868773
HCA_F_BRA8739154	DSP1001660005640_B10	DSP1001660005640	1.00166E+12	19	geometric	Geometric Segment	Geometric Segment-aoi-001	121478.1599	1369	4279521	4275580	4151753	2281017	1453246	36.28955856	HCA_F_BRA8739154	20.39530884	1.456712135	52.23536471	0.88919699	1.2779093	1.617714216
HCA_F_BRA8739313	DSP1001660005647_A06	DSP1001660005647	1.00166E+12	2	geometric	Geometric Segment	Geometric Segment-aoi-001	23518.00252	220	4450580	3214262	2516290	1614953	507544	68.57221232	HCA_F_BRA8739313	7.227377642	1.732349751	28.54760591	0.315100031	0.453994094	0.518154703
HCA_F_BRA8739133	DSP1001660005640_E07	DSP1001660005640	1.00166E+12	45	geometric	Geometric Segment	Geometric Segment-aoi-001	248598.3166	364	4504478	4501642	4378057	3017545	958931	68.22148468	HCA_F_BRA8739133	28.89145281	1.420844808	69.52419875	1.259612839	0.874358995	0.80543719
HCA_F_BRA8739273	DSP1001660005648_A06	DSP1001660005648	1.00166E+12	2	exclusion_sub2	ROI2_exclusion sub2	ROI2_exclusion sub2-aoi-001	11195.59088	356	4717250	4710824	4575793	1834441	795603	56.62967629	HCA_F_BRA8739273	10.82573211	1.494870446	29.57782025	0.471981497	0.521252478	0.494137648
HCA_F_BRA8739220	DSP1001660005641_D06	DSP1001660005641	1.00166E+12	35	exclusion_sub2	ROI35_exclude sub2	ROI35_exclude sub2-aoi-001	10927.54078	313	4895737	4893319	4751836	2164448	843250	61.04087509	HCA_F_BRA8739220	13.38115731	1.59875532	43.24627276	0.583393215	0.588510862	0.574474343
HCA_F_BRA8739235	DSP1001660005641_C08	DSP1001660005641	1.00166E+12	31	geometric	Geometric Segment	Geometric Segment-aoi-001	211274.6287	2125	4915068	4910571	4771841	2208805	1912848	13.3989646	HCA_F_BRA8739235	26.90092504	1.425490619	65.26466648	1.172829584	1.429240665	1.682423392
HCA_F_BRA8739155	DSP1001660005640_C10	DSP1001660005640	1.00166E+12	29	ring	Scan 00MR ROIs - ROI 029 ring	Scan 00MR ROIs - ROI 029 ring-aoi-001	63434.57788	1133	4982129	4979171	4838171	2663199	1102113	58.61694902	HCA_F_BRA8739155	17.2104448	1.502592699	47.63161208	0.750342926	0.975246571	1.117722191
HCA_F_BRA8739317	DSP1001660005647_E06	DSP1001660005647	1.00166E+12	25	exclusion_sub4	ROI25_exclusion sub4	ROI25_exclusion sub4-aoi-001	32819.24639	685	5017287	4504447	3497544	2336030	1013958	56.59482113	HCA_F_BRA8739317	18.6528236	1.487363654	50.32543002	0.813227921	0.891173591	1.017085763
HCA_F_BRA8739128	DSP1001660005648_C06	DSP1001660005648	1.00166E+12	8	exclusion_sub2	ROI8_exclusion sub2	ROI8_exclusion sub2-aoi-001	17076.59121	395	5067475	5064508	4920492	2371236	1038033	56.22396927	HCA_F_BRA8739128	16.40763427	1.522628066	46.93864452	0.715341902	0.689398438	0.790651555
HCA_F_BRA8739141	DSP1001660005640_E08	DSP1001660005640	1.00166E+12	48	geometric	Geometric Segment	Geometric Segment-aoi-001	276337.24	440	5105578	5102662	4959518	3354978	1102675	67.13316749	HCA_F_BRA8739141	30.51645034	1.334815645	62.81845288	1.330459666	1.008875763	0.90058582
HCA_F_BRA8739251	DSP1001660005641_C10	DSP1001660005641	1.00166E+12	33	exclusion_sub2	ROI33_exclude sub2	ROI33_exclude sub2-aoi-001	8630.960745	268	5205818	5202687	5050450	2148220	945875	55.96936068	HCA_F_BRA8739251	13.09090605	1.50756359	36.53076825	0.570738808	0.63895465	0.767348706
HCA_F_BRA8739115	DSP1001660005640_C05	DSP1001660005640	1.00166E+12	26	ring	Scan 00MR ROIs - ROI 026 ring	Scan 00MR ROIs - ROI 026 ring-aoi-001	57808.99868	1290	5339160	5336450	5187338	2921238	1235685	57.69995461	HCA_F_BRA8739115	18.37783641	1.463977145	47.65737562	0.801238998	1.092948744	1.299324982
HCA_F_BRA8739189	DSP1001660005641_E02	DSP1001660005641	1.00166E+12	37	exclusion_sub2	ROI37_exclude sub2	ROI37_exclude sub2-aoi-001	10470.21384	323	5412677	5408887	5251070	2331795	1049071	55.01015312	HCA_F_BRA8739189	14.2386138	1.524119387	40.83336576	0.620776701	0.706213034	0.819174337
HCA_F_BRA8739161	DSP1001660005640_A11	DSP1001660005640	1.00166E+12	10	geometric	Geometric Segment	Geometric Segment-aoi-001	147205.4446	1318	5582938	5577282	5414896	3379696	1616338	52.1750477	HCA_F_BRA8739161	25.14191253	1.374055695	55.64282262	1.096139957	1.429240665	1.78180517
HCA_F_BRA8739090	DSP1001660005640_B02	DSP1001660005640	1.00166E+12	13	geometric	Geometric Segment	Geometric Segment-aoi-001	27292.80468	297	5571348	5567897	5414037	3970645	1231553	68.98355305	HCA_F_BRA8739090	12.77476972	1.497199164	35.03902556	0.556955861	1.126577936	1.587953993
HCA_F_BRA8739101	DSP1001660005640_E03	DSP1001660005640	1.00166E+12	43	geometric	Geometric Segment	Geometric Segment-aoi-001	148486.8125	629	5580171	5576701	5421392	3307686	1120962	66.11038654	HCA_F_BRA8739101	22.54162379	1.406830205	52.91629245	0.982772273	0.992061167	1.135363308
HCA_F_BRA8739137	DSP1001660005640_A08	DSP1001660005640	1.00166E+12	7	geometric	Geometric Segment	Geometric Segment-aoi-001	61994.87414	626	5692583	5688285	5525842	3627970	1242580	65.74999242	HCA_F_BRA8739137	18.88961895	1.439993468	47.00288359	0.823551751	1.076134148	1.306784091
