"","x"
"709","ANKRD9"
"710","ANKS1A"
"711","ANKS1B"
"712","ANKS3"
"713","ANKS4B"
"714","ANKS6"
"715","ANKUB1"
"716","ANKZF1"
"717","ANLN"
"718","ANO1"
"719","ANO10"
"720","ANO2"
"721","ANO3"
"722","ANO4"
"723","ANO5"
"724","ANO6"
"725","ANO7"
"726","ANO8"
"727","ANO9"
"728","ANOS1"
"729","ANP32A"
"730","ANP32B"
"731","ANP32D"
"732","ANP32E"
"733","ANPEP"
"734","ANTKMT,FAM173A"
"735","ANTXR1"
"736","ANTXR2"
"737","ANTXRL"
"738","ANXA1"
"739","ANXA10"
"740","ANXA11"
"741","ANXA13"
"742","ANXA2"
"743","ANXA2R"
"744","ANXA3"
"745","ANXA4"
"746","ANXA5"
"747","ANXA6"
"748","ANXA7"
"749","ANXA8,ANXA8L1"
"750","ANXA9"
"751","AOAH"
"752","AOC1"
"753","AOC2"
"754","AOC3"
"755","AOPEP"
"756","AOX1"
"757","AP1AR"
"758","AP1B1"
"759","AP1G1"
"760","AP1G2"
"761","AP1M1"
"762","AP1M2"
"763","AP1S1"
"764","AP1S3"
"765","AP2A1"
"766","AP2A2"
"767","AP2B1"
"768","AP2M1"
"769","AP2S1"
"770","AP3B1"
"771","AP3B2"
"772","AP3D1"
"773","AP3M1"
"774","AP3M2"
"775","AP3S1"
"776","AP3S2"
"777","AP4B1-AS1,AP4B1"
"778","AP4E1"
"779","AP4M1"
"780","AP4S1"
"781","AP5B1"
"782","AP5M1"
"783","AP5S1"
"784","AP5Z1"
"785","APAF1"
"786","APBA2"
"787","APBA3"
"788","APBB1"
"789","APBB1IP"
"790","APBB3"
"791","APC"
"792","APC2"
"793","APCDD1"
"794","APCDD1L"
"795","APCS"
"796","APEH"
"797","APELA"
"798","APEX1"
"799","APEX2"
"800","APH1A"
"801","APH1B"
"802","API5"
"803","APIP"
"804","APLF"
"805","APLN"
"806","APLNR"
"807","APLP1"
"808","APLP2"
"809","APMAP"
"810","APOA1"
"811","APOA2"
"812","APOA4"
"813","APOA5"
"814","APOB"
"815","APOBEC1"
"816","APOBEC2"
"817","APOBEC3A,APOBEC3A_B,APOBEC3B"
"818","APOBEC3C"
"819","APOBEC3D"
"820","APOBEC3F,APOBEC3G"
"821","APOBEC3H"
"822","APOBEC4"
"823","APOBR"
"824","APOC1"
