Sample_ID	Raw	Trimmed	Stitched	Aligned	Unique
HCA_F_BRA8739266	14301761	14293265	13884484	5979409	3859049
HCA_F_BRA8739267	12998320	12991731	12606920	5260786	2314483
HCA_F_BRA8739268	12201661	12195954	11848879	5240496	2269140
HCA_F_BRA8739269	19921692	19912241	19349090	9383205	4214038
HCA_F_BRA8739270	8437300	8433231	8189950	3642741	1405007
HCA_F_BRA8739271	37242590	37225485	36165861	17907994	6388072
HCA_F_BRA8739272	21539119	21528694	20917837	9505928	4204522
HCA_F_BRA8739273	4717250	4710824	4575793	1834441	795603
HCA_F_BRA8739274	21294846	20948271	20197685	12349715	4324286
HCA_F_BRA8739276	1684007	1576230	1524237	909025	324927
HCA_F_BRA8739277	16822285	6131086	5177333	2515675	1135520
HCA_F_BRA8739278	23989233	22601091	14539253	9409296	3485214
HCA_F_BRA8739279	14992409	7013941	6237015	2507825	1005124
HCA_F_BRA8739281	6316022	6180753	6001237	5523041	2263190
HCA_F_BRA8739282	33913347	33485388	32516971	22417798	7991185
HCA_F_BRA8739283	9283648	9070429	8810681	5713115	2402490
HCA_F_BRA8739285	8050292	5774197	5456613	3364993	1425801
HCA_F_BRA8739286	44130245	16377595	13000118	6468133	2693269
HCA_F_BRA8739287	7950025	2797497	2114181	480086	227310
HCA_F_BRA8739288	64541	12724	6559	1924	1780
HCA_F_BRA8739291	21879406	18874847	17909865	11660822	3611687
HCA_F_BRA8739292	6049079	5560599	5351499	3120991	1221905
HCA_F_BRA8739293	10236915	10151803	9860772	5947989	2596379
HCA_F_BRA8739294	6013526	4815863	4518917	2670437	1005825
HCA_F_BRA8739297	7591875	7474280	7257557	4432434	1316991
HCA_F_BRA8739298	26158065	24641785	16637821	11473409	5139406
HCA_F_BRA8739299	7362634	5355606	5104340	3275004	1251560
HCA_F_BRA8739300	7645024	7339641	5650874	3441520	1231473
HCA_F_BRA8739301	49346399	8449086	6344659	3237211	1388773
HCA_F_BRA8739302	7371855	6984409	6748931	4281188	1775851
HCA_F_BRA8739303	45770982	11094852	1891911	285457	218865
HCA_F_BRA8739305	7175160	7115661	6914297	4068060	1482338
HCA_F_BRA8739306	22200332	22095248	21391214	13732401	4448835
HCA_F_BRA8739307	7106191	7074525	6860000	4844261	1919023
HCA_F_BRA8739310	12448545	10978302	9368170	5710870	2196750
HCA_F_BRA8739311	9656064	7374990	6790523	2825734	1320343
HCA_F_BRA8739313	4450580	3214262	2516290	1614953	507544
HCA_F_BRA8739314	22833185	21586875	17886595	9758632	3150104
HCA_F_BRA8739318	21907227	12595048	10764793	6858171	2855882
HCA_F_BRA8739319	58954955	16562262	11009330	4207746	2567348
HCA_F_BRA8739320	50254684	24346171	1889410	12476	8652
HCA_F_BRA8739321	4135369	3589986	3442189	2075452	568029
HCA_F_BRA8739322	13945377	13049225	12639328	7097054	2658200
HCA_F_BRA8739323	9568764	9000732	8699758	5681533	1742475
HCA_F_BRA8739324	18900639	8220046	3703974	2159529	1076399
HCA_F_BRA8739325	6864510	6344257	5893905	4083963	1718986
HCA_F_BRA8739326	38004503	11724356	7599706	2707504	1231432
HCA_F_BRA8739327	49997419	19263068	16116691	6772395	4114860
HCA_F_BRA8739328	29710766	7126773	3221854	33267	23419
HCA_F_BRA8739329	11054733	11034824	10725092	6515925	1870348
HCA_F_BRA8739331	2745940	2673318	2576060	1647665	676941
HCA_F_BRA8739332	12689666	12423322	11314851	7150355	2588865
HCA_F_BRA8739333	12532416	12230893	11863285	8491962	3169502
HCA_F_BRA8739334	9174571	7900809	7526685	4360452	1584392
HCA_F_BRA8739335	32836915	23008287	20025917	8830031	4771125
HCA_F_BRA8739337	14999287	14982925	14452667	8563871	2660321
HCA_F_BRA8739339	6846536	4283447	3570879	2389971	967180
HCA_F_BRA8739340	3948560	3814910	2342348	1446613	606710
HCA_F_BRA8739342	18018825	11611856	10601295	5347981	2095716
HCA_F_BRA8739343	84672349	41493456	10059134	3393902	2382791
HCA_F_BRA8739345	16763548	16227584	15711426	9835769	3174988
HCA_F_BRA8739346	7765607	6822580	6566805	4004131	1591796
HCA_F_BRA8739347	8395240	8327198	8086627	5457172	2093120
HCA_F_BRA8739348	3755703	3260312	3116631	2015136	808873
HCA_F_BRA8739349	9328022	5508817	2365736	1203509	444280
HCA_F_BRA8739351	10371091	5947543	5220943	2180613	1016886
HCA_F_BRA8739353	12841588	12730654	12331478	8066081	2901672
HCA_F_BRA8739354	18135891	17730621	17169066	10764745	3712924
HCA_F_BRA8739355	11083151	11037149	10591018	7506256	2734445
HCA_F_BRA8739356	8452926	7766382	7457722	4691412	2001525
HCA_F_BRA8739357	11862671	7499135	7099571	4575883	1707421
HCA_F_BRA8739358	11661878	5252770	4574659	1528149	828705
HCA_F_BRA8739359	48672564	7981287	4505809	785527	506939
HCA_F_BRA8739104	1495972	1494784	1451339	650842	271965
HCA_F_BRA8739106	6619514	6611763	6426335	3553229	1217468
HCA_F_BRA8739114	2301207	2299611	2234317	1298386	559953
HCA_F_BRA8739117	1635476	1634357	1588190	911107	376399
HCA_F_BRA8739118	3346343	3344408	3251140	2147781	927914
HCA_F_BRA8739120	33850114	33831297	32855058	14030481	4940287
HCA_F_BRA8739135	3880554	3875971	3762871	1928866	890086
HCA_F_BRA8739140	1630092	1628784	1580771	916379	388859
HCA_F_BRA8739148	2171023	2169736	2108160	1199857	496615
HCA_F_BRA8739162	11061019	11054306	10735438	5864933	2127133
HCA_F_BRA8739166	186313	186176	180919	84678	38504
HCA_F_BRA8739167	1822533	1821331	1768565	857948	362023
HCA_F_BRA8739197	1770968	1769921	1719387	758652	378749
HCA_F_BRA8739203	447515	447082	434600	226464	196671
HCA_F_BRA8739215	552331	551807	535879	238950	67144
HCA_F_BRA8739220	4895737	4893319	4751836	2164448	843250
HCA_F_BRA8739223	95567	95333	92357	38518	36040
HCA_F_BRA8739229	1265756	1264957	1228230	592486	237503
HCA_F_BRA8739252	3358364	3355742	3248334	1516740	607969
HCA_F_BRA8739259	1206957	1206242	1171656	508827	194625
HCA_F_BRA8739275	3505569	3434668	2810801	1853039	780448
HCA_F_BRA8739280	65374	26019	3050	560	538
HCA_F_BRA8739284	9333436	2677928	1900221	641701	254956
HCA_F_BRA8739289	226363	200473	193054	121077	49601
HCA_F_BRA8739290	26290135	26090473	25345038	18042273	6060714
HCA_F_BRA8739295	514573	492441	178121	78601	57503
HCA_F_BRA8739296	178285	46010	40908	15231	12481
HCA_F_BRA8739304	419919	212465	157057	53910	41837
HCA_F_BRA8739308	1775096	1575589	1484880	917206	361542
HCA_F_BRA8739309	13135412	3060934	2093191	1147718	530803
HCA_F_BRA8739312	908751	260272	154477	33596	25006
HCA_F_BRA8739315	12935918	10231852	9785480	6254745	2651647
HCA_F_BRA8739316	1610026	1301723	1237422	832652	349604
HCA_F_BRA8739317	5017287	4504447	3497544	2336030	1013958
HCA_F_BRA8739330	2868980	2866221	2771147	1756596	668759
HCA_F_BRA8739336	1330027	237640	192765	49627	36151
HCA_F_BRA8739338	1693704	1682349	1579828	1046464	382426
HCA_F_BRA8739341	7685107	6905449	6638548	3770574	1283832
HCA_F_BRA8739344	211617	96980	41658	11331	9019
HCA_F_BRA8739350	3756056	3270772	97802	34899	20153
HCA_F_BRA8739352	54166	7245	1543	157	144
HCA_F_BRA8739360	46235	4094	751	68	62
HCA_F_BRA8739361	14379	8487	7804	5170	4878
HCA_F_BRA8739362	5441	898	444	227	219
HCA_F_BRA8739363	25244	4989	3331	695	665
HCA_F_BRA8739364	19910	3409	1960	1093	1036
HCA_F_BRA8739365	97262	66975	4495	1911	1815
HCA_F_BRA8739366	57711	48812	2486	712	689
HCA_F_BRA8739367	248636	245653	1015	176	163
HCA_F_BRA8739368	87676	68925	928	37	35
